table_name,year_value,year_unit,year_start_month,month,variable,commodity_element,market_segment,geographic_extent,value,unit
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date",1993/94,Marketing year,August,NA,Domestic availability,Apples,Fresh,United States,4972.892,million pounds
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date",1993/94,Marketing year,August,NA,Per capita availability,Apples,Fresh,United States,18.9864,pounds
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date",1994/95,Marketing year,August,NA,Utilized production,Apples,Fresh,United States,6368.8,million pounds
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date",1994/95,Marketing year,August,NA,Imports,Apples,Fresh,United States,286.93,million pounds
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date",1994/95,Marketing year,August,NA,Supply,Apples,Fresh,United States,6655.73,million pounds
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date",1994/95,Marketing year,August,NA,Exports,Apples,Fresh,United States,1526.7,million pounds
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date",1994/95,Marketing year,August,NA,Domestic availability,Apples,Fresh,United States,5129.004,million pounds
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date",1994/95,Marketing year,August,NA,Per capita availability,Apples,Fresh,United States,19.35162,pounds
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date",1995/96,Marketing year,August,NA,Utilized production,Apples,Fresh,United States,5840.2,million pounds
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date",1995/96,Marketing year,August,NA,Imports,Apples,Fresh,United States,383.4,million pounds
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date",1995/96,Marketing year,August,NA,Supply,Apples,Fresh,United States,6223.6,million pounds
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date",1995/96,Marketing year,August,NA,Exports,Apples,Fresh,United States,1217.2,million pounds
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date",1995/96,Marketing year,August,NA,Domestic availability,Apples,Fresh,United States,5006.4,million pounds
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date",1995/96,Marketing year,August,NA,Per capita availability,Apples,Fresh,United States,18.67008,pounds
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date",1996/97,Marketing year,August,NA,Utilized production,Apples,Fresh,United States,6206.9,million pounds
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date",1996/97,Marketing year,August,NA,Imports,Apples,Fresh,United States,373.3,million pounds
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date",1996/97,Marketing year,August,NA,Supply,Apples,Fresh,United States,6580.2,million pounds
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date",1996/97,Marketing year,August,NA,Exports,Apples,Fresh,United States,1518.3,million pounds
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date",1996/97,Marketing year,August,NA,Domestic availability,Apples,Fresh,United States,5061.9,million pounds
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date",1996/97,Marketing year,August,NA,Per capita availability,Apples,Fresh,United States,18.65382,pounds
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date",1997/98,Marketing year,August,NA,Utilized production,Apples,Fresh,United States,5814.5,million pounds
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date",1997/98,Marketing year,August,NA,Imports,Apples,Fresh,United States,356.4,million pounds
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date",1997/98,Marketing year,August,NA,Supply,Apples,Fresh,United States,6170.9,million pounds
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date",1997/98,Marketing year,August,NA,Exports,Apples,Fresh,United States,1209.1,million pounds
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date",1997/98,Marketing year,August,NA,Domestic availability,Apples,Fresh,United States,4961.8,million pounds
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date",1997/98,Marketing year,August,NA,Per capita availability,Apples,Fresh,United States,18.06748,pounds
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date",1998/99,Marketing year,August,NA,Utilized production,Apples,Fresh,United States,6412.5,million pounds
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date",1998/99,Marketing year,August,NA,Imports,Apples,Fresh,United States,344.2,million pounds
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date",1998/99,Marketing year,August,NA,Supply,Apples,Fresh,United States,6756.7,million pounds
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date",1998/99,Marketing year,August,NA,Exports,Apples,Fresh,United States,1487.8,million pounds
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date",1998/99,Marketing year,August,NA,Domestic availability,Apples,Fresh,United States,5268.9,million pounds
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date",1998/99,Marketing year,August,NA,Per capita availability,Apples,Fresh,United States,18.96721,pounds
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date",1999/2000,Marketing year,August,NA,Utilized production,Apples,Fresh,United States,5995.7,million pounds
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date",1999/2000,Marketing year,August,NA,Imports,Apples,Fresh,United States,377.5,million pounds
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date",1999/2000,Marketing year,August,NA,Supply,Apples,Fresh,United States,6373.2,million pounds
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date",1999/2000,Marketing year,August,NA,Exports,Apples,Fresh,United States,1175.2,million pounds
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date",1999/2000,Marketing year,August,NA,Domestic availability,Apples,Fresh,United States,5198.1,million pounds
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date",1999/2000,Marketing year,August,NA,Per capita availability,Apples,Fresh,United States,18.4998,pounds
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date",2000/01,Marketing year,August,NA,Utilized production,Apples,Fresh,United States,6265.5,million pounds
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date",2000/01,Marketing year,August,NA,Imports,Apples,Fresh,United States,358.92732,million pounds
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date",2000/01,Marketing year,August,NA,Supply,Apples,Fresh,United States,6624.42732,million pounds
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date",2000/01,Marketing year,August,NA,Exports,Apples,Fresh,United States,1667.07753,million pounds
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date",2000/01,Marketing year,August,NA,Domestic availability,Apples,Fresh,United States,4957.34979,million pounds
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date",2000/01,Marketing year,August,NA,Per capita availability,Apples,Fresh,United States,17.46038,pounds
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date",2001/02,Marketing year,August,NA,Utilized production,Apples,Fresh,United States,5467.5,million pounds
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date",2001/02,Marketing year,August,NA,Imports,Apples,Fresh,United States,361.40674,million pounds
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date",2001/02,Marketing year,August,NA,Supply,Apples,Fresh,United States,5828.90674,million pounds
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date",2001/02,Marketing year,August,NA,Exports,Apples,Fresh,United States,1353.14339,million pounds
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date",2001/02,Marketing year,August,NA,Domestic availability,Apples,Fresh,United States,4475.76336,million pounds
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date",2001/02,Marketing year,August,NA,Per capita availability,Apples,Fresh,United States,15.60652,pounds
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date",2002/03,Marketing year,August,NA,Utilized production,Apples,Fresh,United States,5366,million pounds
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date",2002/03,Marketing year,August,NA,Imports,Apples,Fresh,United States,412.44697,million pounds
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date",2002/03,Marketing year,August,NA,Supply,Apples,Fresh,United States,5778.44697,million pounds
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date",2002/03,Marketing year,August,NA,Exports,Apples,Fresh,United States,1144.93424,million pounds
